title,scope_regionality,region,location_1,location_2,location_3,location_4,location_5,location_6,location_raw,organisation_1,organisation_2,organisation_3,organisation_4,organisation_5,organisation_6,organisation_7,organisation_8,organisation_raw,registry_url,information_url,type,subject_frame,subject_information,scope_population,scope_age,age_max,age_min,sample_design,sample_analysis_unit,sample_size_rounded,start_date,end_date,resource_url_1,resource_url_2,resource_url_3,resource_url_4,resource_url_5,results_seroprevalence_information,results_publication_url,results_publication_date,results_publication_type,analysis_data_source,analysis_target,analysis_isotype,analysis_test,analysis_test_manufacturer_1,analysis_test_manufacturer_2,analysis_test_manufacturer_3,analysis_test_manufacturer_4,analysis_test_manufacturer_5,analysis_test_manufacturer_6,analysis_test_manufacturer_7,analysis_test_manufacturer_raw,results_seroprevalence_adjustment,results_seroprevalence_sensitivity,results_seroprevalence_specificity,results_seroprevalence_positive,results_seroprevalence_positive_95pct_lower,results_seroprevalence_positive_95pct_upper,record_created,record_modified,results_underreporting
Covid-19 Children Health Investigation of Latent Disease in Hamburg (C19.CHILD HAMBURG),Lokal/Regional,Hamburg,Hamburg,,,,,,Hamburg,Universitätsklinikum Hamburg-Eppendorf,,,,,,,,"Klinik für Kinder- und Jugendmedizin und Institut für Mikrobiologie, Universitätsklinikum Eppendorf",,http://c19child.hamburg,Quer- und selektiver Längsschnitt,Nicht COVID-bedingte ärztliche Inanspruchnahme,"Stationäre und ambulante Patientinnen und Patienten aller Hamburger Kinderkliniken ",Allgemeinbevölkerung und besondere Bevölkerungsgruppen,Kinder/Jugendliche ≤ 18Jahre,17,13,Nicht-zufällige Ziehung/convenience sample,Teilnehmende,0,2020-05-11,2020-06-30,,,,,,Seroprävalenz stationärer und ambulanter Patientinnen und Patienten aller Hamburger Kinderkliniken im Alter von 13 bis 17 Jahren für den Zeitraum Mai bis Juni 2020,"https://doi.org/10.1101/2022.02.11.22270611 ",2022-02-11,Preprint,Vollblut,,Gesamt Ig-Antikörper,Mehrere/andere,DIASORIN,ROCHE,,,,,,DIASORIN; Roche,,,,0.0194,0.011,0.0278,,2022-05-04,
Blutspende-Studie Hamburg,Lokal/Regional,Hamburg,Hamburg,,,,,,Hamburg,"Universitätsklinikum Hamburg-Eppendorf, Institut für Transfusionsmedizin",Universitätsklinikum Hamburg-Eppendorf (UKE),,,,,,,"Institut für Transfusionsmedizin, Universitätsklinikum Hamburg-Eppendorf (UKE)",,,Querschnitt,Blutspendende,Blutspendene aus Hamburg,Allgemeinbevölkerung,Erwachsene,,18,Blutspende,Samples von Teilnehmenden,300,2020-04-06,2020-04-10,https://www.uke.de/allgemein/presse/pressemitteilungen/detailseite_95424.html,,,,,Seroprävalenz der Blutspendenden in Hamburg für den Zeitraum von April 2020,https://www.uke.de/allgemein/presse/pressemitteilungen/detailseite_95424.html,2020-06-09,Webseite,Vollblut,Mehrere,Mehrere Antikörper,Mehrere/andere,ROCHE N,DIASORIN,EUROIMMUN,WANTAI,,,,ROCHE N; DIASORIN; EUROIMMUN; WANTAI,,0.864,0.998,0.003,,,,2021-10-17,
Blutspende-Studie Hamburg,Lokal/Regional,Hamburg,Hamburg,,,,,,Hamburg,"Universitätsklinikum Hamburg-Eppendorf, Institut für Transfusionsmedizin",Universitätsklinikum Hamburg-Eppendorf (UKE),,,,,,,"Institut für Transfusionsmedizin, Universitätsklinikum Hamburg-Eppendorf (UKE)",,,Querschnitt,Blutspendende,Blutspendene aus Hamburg,Allgemeinbevölkerung,Erwachsene,,18,Blutspende,Samples von Teilnehmenden,300,2020-05-04,2020-05-06,,,,,,Seroprävalenz der Blutspendenden in Hamburg für den Zeitraum von Mai 2020,https://www.uke.de/allgemein/presse/pressemitteilungen/detailseite_95424.html,2020-06-09,Webseite,Vollblut,Mehrere,Mehrere Antikörper,Mehrere/andere,ROCHE N,DIASORIN,EUROIMMUN,WANTAI,,,,ROCHE N; DIASORIN; EUROIMMUN; WANTAI,,0.864,0.998,0.007,,,,2021-10-17,
Blutspende-Studie Hamburg,Lokal/Regional,Hamburg,Hamburg,,,,,,Hamburg,"Universitätsklinikum Hamburg-Eppendorf, Institut für Transfusionsmedizin",Universitätsklinikum Hamburg-Eppendorf (UKE),,,,,,,"Institut für Transfusionsmedizin, Universitätsklinikum Hamburg-Eppendorf (UKE)",,,Querschnitt,Blutspendende,Blutspendene aus Hamburg,Allgemeinbevölkerung,Erwachsene,,18,Blutspende,Samples von Teilnehmenden,300,2020-06-02,2020-06-05,,,,,,Seroprävalenz der Blutspendenden in Hamburg für den Zeitraum von Juni 2020,https://www.uke.de/allgemein/presse/pressemitteilungen/detailseite_95424.html,2020-06-09,Webseite,Vollblut,Mehrere,Mehrere Antikörper,Mehrere/andere,ROCHE N,DIASORIN,EUROIMMUN,WANTAI,,,,ROCHE N; DIASORIN; EUROIMMUN; WANTAI,,0.864,0.998,0.003,,,,2021-10-17,
SARS-CoV-2 spezifische Immunität und Serokonversion von medizinischem Personal mit COVID-19 Exposititon,Lokal/Regional,Nordrhein-Westfalen,Essen,,,,,,Essen,"Institut für Virologie, Essen",Universitätsklinikum Essen,,,,,,,"Klinik für Infektiologie, Institut für Virologie, Essen",,,Quer- und selektiver Längsschnitt,Gesundheitspersonal (HCW) und Pflegende,Mitarbeiterinnen und Mitarbeiter des Krankenhauses,Besondere Bevölkerungsgruppen,Erwachsene,,18,Nicht-zufällige Ziehung/convenience sample,Teilnehmende,800,2020-03-01,,https://doi.org/10.1016/j.jcv.2020.104437,https://doi.org/10.3390/ijerph18094540,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screening auf SARS-CoV2-Infektionen sowie labordiagnostische Verlaufskontrollen bei Mitarbeiter*innen der Universitätsmedizin Greifswald (SeCo),Lokal/Regional,Mecklenburg-Vorpommern,Greifswald,,,,,,Greifswald,Universitätsmedizin Greifswald,Friedrich-Loeffler-Institut,Friedrich-Loeffler-Institut für Medizinische Mikrobiologie,"Friedrich-Loeffler-Institut, Zentralbereich Hygiene",,,,,"Universitätsmedizin Greifswald, Friedrich-Loeffler-Institut für Medizinische Mikrobiologie und Zentralbereich Hygiene",https://clinicaltrials.gov/ct2/show/record/NCT04370119,,Längsschnitt/Prospektive Kohortenstudie,Gesundheitspersonal (HCW) und Pflegende,Beschäftigte der Universitätsmedizin Greifswald,Besondere Bevölkerungsgruppen,Erwachsene,,18,Nicht-zufällige Ziehung/convenience sample,Teilnehmende,4000,2020-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serielle Querschnittsstudie zur Erhebung der Seroprävalenz von SARS-CoV-2 Infektionen während und nach der COVID-19 Epidemie in Heidelberg und dem Rhein-Neckar-Kreis,Lokal/Regional,Baden-Württemberg,Rhein-Neckar Kreis,Heidelberg,,,,,"Heidelberg, Rhein-Neckar Kreis",Universitätsklinikum Heidelberg,,,,,,,,"Universitätsklinikum Heidelberg, Sektion Tropenmedizin",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021709,,Wiederholte Querschnitte,Wohnbevölkerung,Einwohnerinnen und Einwohner aus Heidelberg und dem Rhein-Neckar-Kreis,Allgemeinbevölkerung,Mehrere,,5,Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,1500,2020-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Studie zur Bewertung des Infektionsgeschehens mit SARS-CoV-2 bei Lehrkräften, Schülerinnen und Schülern in Sachsen (SCHULERHEBUNG ""CORONA"")",Lokal/Regional,Sachsen,Dresden,Zwickau,Leipzig,Werdau,Borna,,"Dresden, Zwickau, Leipzig, Werdau und Borna",Universität Leipzig,Universitätsklinik Leipzig,LIFE Child,,,,,,"LIFE Child, Medizinische Fakultät der Universität Leipzig, Institut für Virologie der Universitätsklinik Leipzig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022032,https://home.uni-leipzig.de/lifechild/schulerhebung-corona/,Wiederholte Querschnitte,"Schule, Kindertagesstätte","Schülerinnen, Schüler und Lehrkräfte aus Grund- und weiterführenden Schulen in Sachsen",Allgemeinbevölkerung und besondere Bevölkerungsgruppen,Mehrere,67,7,"Mehrstufige, teilweise zufällige Ziehung",Teilnehmende,3000,2020-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-27,
"Studie zur Bewertung des Infektionsgeschehens mit SARS-CoV-2 bei Lehrkräften, Schülerinnen und Schülern in Sachsen (SCHULERHEBUNG ""CORONA"")",Lokal/Regional,Sachsen,Dresden,Zwickau,Leipzig,Werdau,Borna,,"Dresden, Zwickau, Leipzig, Werdau und Borna",Universität Leipzig,Universitätsklinik Leipzig,LIFE Child,,,,,,"LIFE Child, Medizinische Fakultät der Universität Leipzig, Institut für Virologie der Universitätsklinik Leipzig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022032,,Wiederholte Querschnitte,"Schule, Kindertagesstätte",Schülerinnen und Schüler aus weiterführenden Schulen in Sachsen,Allgemeinbevölkerung,Kinder/Jugendliche ≤ 18Jahre,17,,"Mehrstufige, teilweise zufällige Ziehung",Teilnehmende,,2020-11-01,2020-11-30,,,,,,Seroprävalenz Jugendlicher aus weiterführenden Schulen in Sachsen für den Zeitraum November 2020,https://home.uni-leipzig.de/lifechild/schulerhebung-corona/,,Webseite,Vollblut,,IgG,,ABBOTT N,,,,,,,ABBOTT N,,,,0.018,,,,2021-09-27,
"Studie zur Bewertung des Infektionsgeschehens mit SARS-CoV-2 bei Lehrkräften, Schülerinnen und Schülern in Sachsen (SCHULERHEBUNG ""CORONA"")",Lokal/Regional,Sachsen,Dresden,Zwickau,Leipzig,Werdau,Borna,,"Dresden, Zwickau, Leipzig, Werdau und Borna",Universität Leipzig,Universitätsklinik Leipzig,LIFE Child,,,,,,"LIFE Child, Medizinische Fakultät der Universität Leipzig, Institut für Virologie der Universitätsklinik Leipzig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022032,,Wiederholte Querschnitte,"Schule, Kindertagesstätte",Schülerinnen und Schüler aus Grund- und weiterführenden Schulen und Lehrkräfte in Sachsen Mai bis Juni 2020,Allgemeinbevölkerung und besondere Bevölkerungsgruppen,Mehrere,67,7,"Mehrstufige, teilweise zufällige Ziehung",Teilnehmende,2300,2020-05-27,2020-06-30,,,,,,Seroprävalenz der Schüler und Schülerinnen aus Grund- und weiterführenden Schulen und Lehrkräfte in Sachsen für den Zeitraum von Mai bis Juni 2020,https://home.uni-leipzig.de/lifechild/schulerhebung-corona/,,Webseite,Vollblut,,IgG,,ABBOTT N,,,,,,,ABBOTT N,,,,0.006,,,,2021-09-27,
"Studie zur Bewertung des Infektionsgeschehens mit SARS-CoV-2 bei Lehrkräften, Schülerinnen und Schülern in Sachsen (SCHULERHEBUNG ""CORONA"")",Lokal/Regional,Sachsen,Dresden,Zwickau,Leipzig,Werdau,Borna,,"Dresden, Zwickau, Leipzig, Werdau und Borna",Universität Leipzig,Universitätsklinik Leipzig,LIFE Child,,,,,,"LIFE Child, Medizinische Fakultät der Universität Leipzig, Institut für Virologie der Universitätsklinik Leipzig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022032,,Wiederholte Querschnitte,"Schule, Kindertagesstätte",Schülerinnen und Schüler aus Grund- und weiterführenden Schulen und Lehrkräfte in Sachsen September 2020,Allgemeinbevölkerung und besondere Bevölkerungsgruppen,Mehrere,67,7,"Mehrstufige, teilweise zufällige Ziehung",Teilnehmende,2200,2020-09-01,2020-09-30,,,,,,Seroprävalenz der Schüler und Schülerinnen aus Grund- und weiterführenden Schulen und Lehrkräfte in Sachsen für den Zeitraum September 2020,https://home.uni-leipzig.de/lifechild/schulerhebung-corona/,,Webseite,Vollblut,,IgG,,ABBOTT N,,,,,,,ABBOTT N,,,,0.006,,,,2021-09-27,
"Studie zur Bewertung des Infektionsgeschehens mit SARS-CoV-2 bei Lehrkräften, Schülerinnen und Schülern in Sachsen (SCHULERHEBUNG ""CORONA"")",Lokal/Regional,Sachsen,Dresden,Zwickau,Leipzig,Werdau,Borna,,"Dresden, Zwickau, Leipzig, Werdau und Borna",Universität Leipzig,Universitätsklinik Leipzig,LIFE Child,,,,,,"LIFE Child, Medizinische Fakultät der Universität Leipzig, Institut für Virologie der Universitätsklinik Leipzig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022032,,Wiederholte Querschnitte,"Schule, Kindertagesstätte",Schülerinnen und Schüler aus Grundschulen in Sachsen November 2020,Allgemeinbevölkerung,Kinder/Jugendliche ≤ 18Jahre,17,,"Mehrstufige, teilweise zufällige Ziehung",Teilnehmende,,2020-11-01,2020-11-30,,,,,,Seroprävalenz der Kinder aus Grundschulen in Sachsen für den Zeitraum November 2020,https://home.uni-leipzig.de/lifechild/schulerhebung-corona/,,Webseite,Vollblut,,IgG,,ABBOTT N,,,,,,,ABBOTT N,,,,0.005,,,,2021-09-27,
"Studie zur Bewertung des Infektionsgeschehens mit SARS-CoV-2 bei Lehrkräften, Schülerinnen und Schülern in Sachsen (SCHULERHEBUNG ""CORONA"")",Lokal/Regional,Sachsen,Dresden,Zwickau,Leipzig,Werdau,Borna,,"Dresden, Zwickau, Leipzig, Werdau und Borna",Universität Leipzig,Universitätsklinik Leipzig,LIFE Child,,,,,,"LIFE Child, Medizinische Fakultät der Universität Leipzig, Institut für Virologie der Universitätsklinik Leipzig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022032,https://home.uni-leipzig.de/lifechild/schulerhebung-corona/,Wiederholte Querschnitte,"Schule, Kindertagesstätte",Schülerinnen und Schüler aus Grund- und weiterführenden Schulen und Lehrkräfte in Sachsen November 2020,Allgemeinbevölkerung und besondere Bevölkerungsgruppen,Mehrere,67,7,"Mehrstufige, teilweise zufällige Ziehung",Teilnehmende,2200,2020-11-01,2020-11-30,,,,,,Gesamtseroprävalenz der Kinder und Jugendlichen aus Grund- und weiterführenden Schulen in Sachsen für den Zeitraum November 2020,https://home.uni-leipzig.de/lifechild/schulerhebung-corona/,,Webseite,Vollblut,,IgG,,ABBOTT N,,,,,,,ABBOTT N,,,,0.014,,,,2021-09-27,
Multilokale und Serielle Prävalenzstudie zu Antikörpern gegen SARS-2-Coronavirus in Deutschland - Aachen (MuSPAD),Lokal/Regional,Nordrhein-Westfalen,Aachen,,,,,,Aachen,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Quer- und selektiver Längsschnitt,Wohnbevölkerung,Einwohnerinnen und Einwohner aus Aachen,Allgemeinbevölkerung,Erwachsene,,18,Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,2000,2020-09-09,2021-02-22,https://doi.org/10.1101/2021.05.04.21256597,https://doi.org/10.3238/arztebl.m2021.0364,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-23,
Multilokale und Serielle Prävalenzstudie zu Antikörpern gegen SARS-2-Coronavirus in Deutschland - Aachen (MuSPAD),Lokal/Regional,Nordrhein-Westfalen,Aachen,,,,,,Aachen,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,Helmholtz Zentrum für Infektionsforschung (HZI),https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Quer- und selektiver Längsschnitt,Wohnbevölkerung,Einwohnerinnen und Einwohner aus Aachen,Allgemeinbevölkerung,Erwachsene,99,18,Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,1900,2021-01-27,2021-02-22,,,,,,Seroprävalenz aus der zweiten Erhebungswelle in Einwohnerinnen und Einwohnern Aachens,https://doi.org/10.3238/arztebl.m2021.0364,2021-11-05,Peer-reviewed Publikation,Vollblut,anti -S1,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjustiert für Test-Güte und bevölkerungsgewichtet,0.883,0.992,0.054,0.044,0.065,,2022-03-23,1.8
Multilokale und Serielle Prävalenzstudie zu Antikörpern gegen SARS-2-Coronavirus in Deutschland - Aachen (MuSPAD),Lokal/Regional,Nordrhein-Westfalen,Aachen,,,,,,Aachen,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Quer- und selektiver Längsschnitt,Wohnbevölkerung,Einwohnerinnen und Einwohner aus Aachen,Allgemeinbevölkerung,Erwachsene,99,18,Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,2000,2020-09-09,2020-10-09,,,,,,Seroprävalenz aus der ersten Erhebungswelle in Einwohnerinnen und Einwohnern Aachens,https://doi.org/10.3238/arztebl.m2021.0364,2021-11-05,Peer-reviewed Publikation,Vollblut,anti -S1,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjustiert für Test-Güte und bevölkerungsgewichtet,0.883,0.992,0.023,0.017,0.031,,2022-03-23,4.9
Multilokale und Serielle Prävalenzstudie zu Antikörpern gegen SARS-2-Coronavirus in Deutschland - Chemnitz (MuSPAD),Lokal/Regional,Sachsen,Chemnitz,,,,,,Chemnitz,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Quer- und selektiver Längsschnitt,Wohnbevölkerung,Einwohnerinnen und Einwohner aus Chemnitz,Allgemeinbevölkerung,Erwachsene,,18,Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,2700,2021-03-03,2021-08-17,https://doi.org/10.1101/2021.05.04.21256597,https://doi.org/10.3238/arztebl.m2021.0364,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-23,
Multilokale und Serielle Prävalenzstudie zu Antikörpern gegen SARS-2-Coronavirus in Deutschland - Chemnitz (MuSPAD),Lokal/Regional,Sachsen,Chemnitz,,,,,,Chemnitz,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,Helmholtz Zentrum für Infektionsforschung (HZI),,https://hzi-c19-antikoerperstudie.de/,Quer- und selektiver Längsschnitt,Wohnbevölkerung,Einwohnerinnen und Einwohner aus Chemnitz,Allgemeinbevölkerung,Erwachsene,99,19,Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,400,2021-07-21,2021-08-17,,,,,,Seroprävalenz aus der zweiten Erhebungswelle in Einwohnerinnen und Einwohnern von Chemnitz,https://doi.org/10.3238/arztebl.m2021.0364,2021-11-05,Peer-reviewed Publikation,Vollblut,anti -S1,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjustiert für Test-Güte und bevölkerungsgewichtet,0.883,0.992,0.324,0.274,0.378,2021-09-21,2022-03-23,
Multilokale und Serielle Prävalenzstudie zu Antikörpern gegen SARS-2-Coronavirus in Deutschland - Chemnitz (MuSPAD),Lokal/Regional,Sachsen,Chemnitz,,,,,,Chemnitz,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Quer- und selektiver Längsschnitt,Wohnbevölkerung,Einwohnerinnen und Einwohner aus Chemnitz,Allgemeinbevölkerung,Erwachsene,99,18,Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,2700,2021-03-03,2021-03-31,,,,,,Seroprävalenz aus der ersten Erhebungswelle in Einwohnerinnen und Einwohnern von Chemnitz,https://doi.org/10.3238/arztebl.m2021.0364,2021-11-05,Peer-reviewed Publikation,Vollblut,anti -S1,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjustiert für Test-Güte und bevölkerungsgewichtet,0.883,0.992,0.131,0.115,0.149,,2022-03-23,2.9
Multilokale und Serielle Prävalenzstudie zu Antikörpern gegen SARS-2-Coronavirus in Deutschland - Freiburg (MuSPAD),Lokal/Regional,Baden-Württemberg,Freiburg,,,,,,Freiburg,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Quer- und selektiver Längsschnitt,Wohnbevölkerung,Einwohnerinnen und Einwohner aus Freiburg,Allgemeinbevölkerung,Erwachsene,,18,Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,2900,2020-08-05,2020-12-15,https://doi.org/10.1101/2021.05.04.21256597,https://doi.org/10.3238/arztebl.m2021.0364,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-23,
Multilokale und Serielle Prävalenzstudie zu Antikörpern gegen SARS-2-Coronavirus in Deutschland - Freiburg (MuSPAD),Lokal/Regional,Baden-Württemberg,Freiburg,,,,,,Freiburg,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,Helmholtz Zentrum für Infektionsforschung (HZI),https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Quer- und selektiver Längsschnitt,Wohnbevölkerung,Einwohnerinnen und Einwohner aus Freiburg,Allgemeinbevölkerung,Erwachsene,99,18,Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,1800,2020-11-18,2020-12-15,,,,,,Seroprävalenz aus der zweiten Erhebungswelle in Einwohnerinnen und Einwohnern Freiburgs,https://doi.org/10.3238/arztebl.m2021.0364,2021-11-05,Peer-reviewed Publikation,Vollblut,anti -S1,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjustiert für Test-Güte und bevölkerungsgewichtet,0.883,0.992,0.024,0.021,0.037,,2022-03-23,2.2
Multilokale und Serielle Prävalenzstudie zu Antikörpern gegen SARS-2-Coronavirus in Deutschland - Freiburg (MuSPAD),Lokal/Regional,Baden-Württemberg,Freiburg,,,,,,Freiburg,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Quer- und selektiver Längsschnitt,Wohnbevölkerung,Einwohnerinnen und Einwohner aus Freiburg,Allgemeinbevölkerung,Erwachsene,99,18,Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,2900,2020-08-05,2020-09-02,,,,,,Seroprävalenz aus der ersten Erhebungswelle in Einwohnerinnen und Einwohnern Freiburgs,https://doi.org/10.3238/arztebl.m2021.0364,2021-11-05,Peer-reviewed Publikation,Vollblut,anti -S1,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjustiert für Test-Güte und bevölkerungsgewichtet,0.883,0.992,0.015,0.011,0.02,,2022-03-23,3
Multilokale und Serielle Prävalenzstudie zu Antikörpern gegen SARS-2-Coronavirus in Deutschland - Hannover (MuSPAD),Lokal/Regional,Niedersachsen,Hannover,,,,,,Hannover,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Quer- und selektiver Längsschnitt,Wohnbevölkerung,Teilnehmende der NAKO Gesundheitsstudie aus Hannover,Allgemeinbevölkerung,Erwachsene,,18,Kohortenstichprobe - Ziehung aus Kohortenstudie der Allgemeinbevökerung,Teilnehmende,3000,2021-06-16,2021-07-13,https://hannover.nako.de/2021/05/28/3-000-nako-teilnehmende-aus-hannover-haben-die-moeglichkeit-an-der-zusatzstudie-muspad-in-der-nako-teilzunehmen/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multilokale und Serielle Prävalenzstudie zu Antikörpern gegen SARS-2-Coronavirus in Deutschland - Magdeburg (MuSPAD),Lokal/Regional,Sachsen-Anhalt,Magdeburg,,,,,,Magdeburg,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Quer- und selektiver Längsschnitt,Wohnbevölkerung,Einwohnerinnen und Einwohner aus Magdeburg,Allgemeinbevölkerung,Erwachsene,,18,Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,2700,2020-11-18,2020-12-15,https://doi.org/10.1101/2021.05.04.21256597,https://doi.org/10.3238/arztebl.m2021.0364,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multilokale und Serielle Prävalenzstudie zu Antikörpern gegen SARS-2-Coronavirus in Deutschland - Magdeburg (MuSPAD),Lokal/Regional,Sachsen-Anhalt,Magdeburg,,,,,,Magdeburg,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Quer- und selektiver Längsschnitt,Wohnbevölkerung,Einwohnerinnen und Einwohner aus Magdeburg,Allgemeinbevölkerung,Erwachsene,99,18,Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,1100,2021-04-07,2021-05-05,,,,,,Seroprävalenz aus der zweiten Erhebungswelle in Einwohnerinnen und Einwohnern Magdeburgs,https://doi.org/10.3238/arztebl.m2021.0364,2021-11-05,Peer-reviewed Publikation,Vollblut,anti -S1,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjustiert für Test-Güte und bevölkerungsgewichtet,0.883,0.992,0.06,0.037,0.097,2021-11-15,2022-03-23,
Multilokale und Serielle Prävalenzstudie zu Antikörpern gegen SARS-2-Coronavirus in Deutschland - Magdeburg (MuSPAD),Lokal/Regional,Sachsen-Anhalt,Magdeburg,,,,,,Magdeburg,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Quer- und selektiver Längsschnitt,Wohnbevölkerung,Einwohnerinnen und Einwohner aus Magdeburg,Allgemeinbevölkerung,Erwachsene,99,18,Einwohnermeldeamts-Zufallsstichprobe,Teilnehmende,2700,2020-11-18,2020-12-15,,,,,,Seroprävalenz aus der ersten Erhebungswelle in Einwohnerinnen und Einwohnern Magdeburgs,https://doi.org/10.3238/arztebl.m2021.0364,2021-11-05,Peer-reviewed Publikation,Vollblut,anti -S1,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjustiert für Test-Güte und bevölkerungsgewichtet,0.883,0.992,0.024,0.019,0.031,,2022-03-23,5.1
