title,scope_regionality,region,location_1,location_2,location_3,location_4,location_5,location_6,location_raw,organisation_1,organisation_2,organisation_3,organisation_4,organisation_5,organisation_6,organisation_7,organisation_8,organisation_raw,registry_url,information_url,type,subject_frame,subject_information,scope_population,scope_age,age_max,age_min,sample_design,sample_analysis_unit,sample_size_obtained,sample_size_rounded,start_date,end_date,resource_url_1,resource_url_2,resource_url_3,resource_url_4,resource_url_5,results_seroprevalence_information,results_publication_url,results_publication_date,results_publication_type,analysis_data_source,analysis_target,analysis_isotype,analysis_test,analysis_test_manufacturer_1,analysis_test_manufacturer_2,analysis_test_manufacturer_3,analysis_test_manufacturer_4,analysis_test_manufacturer_5,analysis_test_manufacturer_6,analysis_test_manufacturer_7,analysis_test_manufacturer_raw,results_seroprevalence_adjustment,results_seroprevalence_sensitivity,results_seroprevalence_specificity,results_seroprevalence_positive,results_seroprevalence_positive_95pct_lower,results_seroprevalence_positive_95pct_upper,record_created,record_modified,results_underreporting
Covid-19 Children Health Investigation of Latent Disease in Hamburg (C19.CHILD HAMBURG),Local/Regional,Hamburg,Hamburg,,,,,,Hamburg,Universitätsklinikum Hamburg-Eppendorf,,,,,,,,"Klinik für Kinder- und Jugendmedizin und Institut für Mikrobiologie, Universitätsklinikum Eppendorf",,http://c19child.hamburg,Cross sectional and selective longitudinal,Persons seeking care for non-COVID reasons,Inpatients and outpatients of all Hamburg children's hospitals (total seroprevalence),General population and selected population groups,Children/adolescents ≤18 years,17,13,Convenience sample,Participants,,0,2020-05-11,2020-06-30,,,,,,Seroprevalence of outpatients and inpatients of the Hamburg pedriatric hospitals aged 13 to 17 years old for the period of May to June 2020,"https://doi.org/10.1101/2022.02.11.22270611 ",2022-02-11,Preprint,whole blood,multiple,Total antibody,Mehrere/andere,DIASORIN,ROCHE,,,,,,DIASORIN; Roche,,,,0.0194,0.011,0.0278,,2022-05-04,
Blutspende-Studie Hamburg,Local/Regional,Hamburg,Hamburg,,,,,,Hamburg,"Universitätsklinikum Hamburg-Eppendorf, Institut für Transfusionsmedizin",Universitätsklinikum Hamburg-Eppendorf (UKE),,,,,,,"Institut für Transfusionsmedizin, Universitätsklinikum Hamburg-Eppendorf (UKE)",,,Cross sectional,Blood donors,Blood donors from Hamburg,General population,Adults,,18,Blood donation,Samples of participants,300,300,2020-04-06,2020-04-10,https://www.uke.de/allgemein/presse/pressemitteilungen/detailseite_95424.html,,,,,Seroprevalence among blood donors in Hamburg for the period of April 2020,https://www.uke.de/allgemein/presse/pressemitteilungen/detailseite_95424.html,2020-06-09,Webseite,whole blood,multiple,Multiple antibodies,Mehrere/andere,ROCHE N,DIASORIN,EUROIMMUN,WANTAI,,,,ROCHE N; DIASORIN; EUROIMMUN; WANTAI,,0.864,0.998,0.003,,,,2021-10-17,
Blutspende-Studie Hamburg,Local/Regional,Hamburg,Hamburg,,,,,,Hamburg,"Universitätsklinikum Hamburg-Eppendorf, Institut für Transfusionsmedizin",Universitätsklinikum Hamburg-Eppendorf (UKE),,,,,,,"Institut für Transfusionsmedizin, Universitätsklinikum Hamburg-Eppendorf (UKE)",,,Cross sectional,Blood donors,Blood donors from Hamburg,General population,Adults,,18,Blood donation,Samples of participants,288,300,2020-05-04,2020-05-06,,,,,,Seroprevalence among blood donors in Hamburg for the period of May 2020,https://www.uke.de/allgemein/presse/pressemitteilungen/detailseite_95424.html,2020-06-09,Webseite,whole blood,multiple,Multiple antibodies,Mehrere/andere,ROCHE N,DIASORIN,EUROIMMUN,WANTAI,,,,ROCHE N; DIASORIN; EUROIMMUN; WANTAI,,0.864,0.998,0.007,,,,2021-10-17,
Blutspende-Studie Hamburg,Local/Regional,Hamburg,Hamburg,,,,,,Hamburg,"Universitätsklinikum Hamburg-Eppendorf, Institut für Transfusionsmedizin",Universitätsklinikum Hamburg-Eppendorf (UKE),,,,,,,"Institut für Transfusionsmedizin, Universitätsklinikum Hamburg-Eppendorf (UKE)",,,Cross sectional,Blood donors,Blood donors from Hamburg,General population,Adults,,18,Blood donation,Samples of participants,326,300,2020-06-02,2020-06-05,,,,,,Seroprevalence among blood donors in Hamburg for the period of June 2020,https://www.uke.de/allgemein/presse/pressemitteilungen/detailseite_95424.html,2020-06-09,Webseite,whole blood,multiple,Multiple antibodies,Mehrere/andere,ROCHE N,DIASORIN,EUROIMMUN,WANTAI,,,,ROCHE N; DIASORIN; EUROIMMUN; WANTAI,,0.864,0.998,0.003,,,,2021-10-17,
SARS-CoV-2 spezifische Immunität und Serokonversion von medizinischem Personal mit COVID-19 Exposititon,Local/Regional,North Rhine-Westphalia,Essen,,,,,,Essen,"Institut für Virologie, Essen",Universitätsklinikum Essen,,,,,,,"Klinik für Infektiologie, Institut für Virologie, Essen",,,Cross sectional and selective longitudinal,Healthcare workers and caregivers,"Employees of the hospital ",Selected population groups,Adults,,18,Convenience sample,Participants,,800,2020-03-01,,https://doi.org/10.1016/j.jcv.2020.104437,https://doi.org/10.3390/ijerph18094540,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Screening for COVID-19 and Monitoring of Serological Responses to SARS-CoV-2 in Healthcare Workers (SeCo),Local/Regional,Mecklenburg-Western Pomerania,Greifswald,,,,,,Greifswald,Universitätsmedizin Greifswald,Friedrich-Loeffler-Institut,Friedrich-Loeffler-Institut für Medizinische Mikrobiologie,"Friedrich-Loeffler-Institut, Zentralbereich Hygiene",,,,,"Universitätsmedizin Greifswald, Friedrich-Loeffler-Institut für Medizinische Mikrobiologie und Zentralbereich Hygiene",https://clinicaltrials.gov/ct2/show/record/NCT04370119,,Longitudinal/Prospectice cohort study,Healthcare workers and caregivers,Employees of the University Medical Center Greifswald,Selected population groups,Adults,,18,Convenience sample,Participants,,4000,2020-04-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serial cross-sectional seroprevalence study of SARS-CoV-2 infection during and after the COVID-19 epidemic in Heidelberg and the Rhein-Neckar region,Local/Regional,Baden-Wuerttemberg,Rhine-Neckar district,Heidelberg,,,,,"Heidelberg, Rhine-Neckar district",Universitätsklinikum Heidelberg,,,,,,,,"Universitätsklinikum Heidelberg, Sektion Tropenmedizin",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021709,,Repeated cross-sectional,Household and Community Samples,Residents of Heidelberg and the Rhine-Neckar district,General population,Multiple,,5,Random sampling (central registration-based),Participants,1500,1500,2020-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Study on the Evaluation of the Infectious Process of SARS-CoV-2 in Teachers and Students in Saxony (COVID-19) (SCHULERHEBUNG ""CORONA"")",Local/Regional,Saxony,Dresden,Zwickau,Leipzig,Werdau,Borna,,"Dresden, Zwickau, Leipzig, Werdau and Borna",Universität Leipzig,Universitätsklinik Leipzig,LIFE Child,,,,,,"LIFE Child, Medizinische Fakultät der Universität Leipzig, Institut für Virologie der Universitätsklinik Leipzig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022032,https://home.uni-leipzig.de/lifechild/schulerhebung-corona/,Repeated cross-sectional,"School, Kindergarten/Daycare",Students and teachers from primary and secondary schools in Saxony,General population and selected population groups,Multiple,67,7,"Multistage, partial random sampling",Participants,,3000,2020-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-27,
"Study on the Evaluation of the Infectious Process of SARS-CoV-2 in Teachers and Students in Saxony (COVID-19) (SCHULERHEBUNG ""CORONA"")",Local/Regional,Saxony,Dresden,Zwickau,Leipzig,Werdau,Borna,,"Dresden, Zwickau, Leipzig, Werdau and Borna",Universität Leipzig,Universitätsklinik Leipzig,LIFE Child,,,,,,"LIFE Child, Medizinische Fakultät der Universität Leipzig, Institut für Virologie der Universitätsklinik Leipzig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022032,,Repeated cross-sectional,"School, Kindergarten/Daycare",Students secondary schools in Saxony,General population,Children/adolescents ≤18 years,17,,"Multistage, partial random sampling",Participants,,,2020-11-01,2020-11-30,,,,,,Seroprevelence among students in secondary schools in Saxony for the period of November 2020,https://home.uni-leipzig.de/lifechild/schulerhebung-corona/,,Webseite,whole blood,,IgG,,ABBOTT N,,,,,,,ABBOTT N,,,,0.018,,,,2021-09-27,
"Study on the Evaluation of the Infectious Process of SARS-CoV-2 in Teachers and Students in Saxony (COVID-19) (SCHULERHEBUNG ""CORONA"")",Local/Regional,Saxony,Dresden,Zwickau,Leipzig,Werdau,Borna,,"Dresden, Zwickau, Leipzig, Werdau and Borna",Universität Leipzig,Universitätsklinik Leipzig,LIFE Child,,,,,,"LIFE Child, Medizinische Fakultät der Universität Leipzig, Institut für Virologie der Universitätsklinik Leipzig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022032,,Repeated cross-sectional,"School, Kindergarten/Daycare",Students and teachers from primary and secondary schools in Saxony May to June 2020,General population and selected population groups,Multiple,67,7,"Multistage, partial random sampling",Participants,2344,2300,2020-05-27,2020-06-30,,,,,,Seroprevalence among students and teachers from primary and secondary schools in Saxony for the period from May to June 2020,https://home.uni-leipzig.de/lifechild/schulerhebung-corona/,,Webseite,whole blood,,IgG,,ABBOTT N,,,,,,,ABBOTT N,,,,0.006,,,,2021-09-27,
"Study on the Evaluation of the Infectious Process of SARS-CoV-2 in Teachers and Students in Saxony (COVID-19) (SCHULERHEBUNG ""CORONA"")",Local/Regional,Saxony,Dresden,Zwickau,Leipzig,Werdau,Borna,,"Dresden, Zwickau, Leipzig, Werdau and Borna",Universität Leipzig,Universitätsklinik Leipzig,LIFE Child,,,,,,"LIFE Child, Medizinische Fakultät der Universität Leipzig, Institut für Virologie der Universitätsklinik Leipzig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022032,,Repeated cross-sectional,"School, Kindergarten/Daycare",Students and teachers from primary and secondary schools in Saxony September 2020,General population and selected population groups,Multiple,67,7,"Multistage, partial random sampling",Participants,2191,2200,2020-09-01,2020-09-30,,,,,,Seroprevalence among students and teachers from primary and secondary schools in Saxony for the period of September 2020,https://home.uni-leipzig.de/lifechild/schulerhebung-corona/,,Webseite,whole blood,,IgG,,ABBOTT N,,,,,,,ABBOTT N,,,,0.006,,,,2021-09-27,
"Study on the Evaluation of the Infectious Process of SARS-CoV-2 in Teachers and Students in Saxony (COVID-19) (SCHULERHEBUNG ""CORONA"")",Local/Regional,Saxony,Dresden,Zwickau,Leipzig,Werdau,Borna,,"Dresden, Zwickau, Leipzig, Werdau and Borna",Universität Leipzig,Universitätsklinik Leipzig,LIFE Child,,,,,,"LIFE Child, Medizinische Fakultät der Universität Leipzig, Institut für Virologie der Universitätsklinik Leipzig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022032,,Repeated cross-sectional,"School, Kindergarten/Daycare",Students from primary schools in Saxony November 2020,General population,Children/adolescents ≤18 years,17,,"Multistage, partial random sampling",Participants,,,2020-11-01,2020-11-30,,,,,,Seroprevelance among students from primary schools in Saxony for the period of November 2020,https://home.uni-leipzig.de/lifechild/schulerhebung-corona/,,Webseite,whole blood,,IgG,,ABBOTT N,,,,,,,ABBOTT N,,,,0.005,,,,2021-09-27,
"Study on the Evaluation of the Infectious Process of SARS-CoV-2 in Teachers and Students in Saxony (COVID-19) (SCHULERHEBUNG ""CORONA"")",Local/Regional,Saxony,Dresden,Zwickau,Leipzig,Werdau,Borna,,"Dresden, Zwickau, Leipzig, Werdau and Borna",Universität Leipzig,Universitätsklinik Leipzig,LIFE Child,,,,,,"LIFE Child, Medizinische Fakultät der Universität Leipzig, Institut für Virologie der Universitätsklinik Leipzig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022032,https://home.uni-leipzig.de/lifechild/schulerhebung-corona/,Repeated cross-sectional,"School, Kindergarten/Daycare",Students and teachers from primary and secondary schools in Saxony November 2020,General population and selected population groups,Multiple,67,7,"Multistage, partial random sampling",Participants,2194,2200,2020-11-01,2020-11-30,,,,,,Total seroprevelance among students from primary and secondary schools in Saxony for the period of November 2020,https://home.uni-leipzig.de/lifechild/schulerhebung-corona/,,Webseite,whole blood,,IgG,,ABBOTT N,,,,,,,ABBOTT N,,,,0.014,,,,2021-09-27,
Multi-local and serial cross-sectional prevalence study on antibodies against SARS-CoV-2 (COVID-19) in Germany - Aachen (MuSPAD),Local/Regional,North Rhine-Westphalia,Aachen,,,,,,Aachen,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Aachen,General population,Adults,,18,Random sampling (central registration-based),Participants,2023,2000,2020-09-09,2021-02-22,https://doi.org/10.1101/2021.05.04.21256597,https://doi.org/10.3238/arztebl.m2021.0364,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-23,
Multi-local and serial cross-sectional prevalence study on antibodies against SARS-CoV-2 (COVID-19) in Germany - Aachen (MuSPAD),Local/Regional,North Rhine-Westphalia,Aachen,,,,,,Aachen,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,Helmholtz Zentrum für Infektionsforschung (HZI),https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Aachen,General population,Adults,99,18,Random sampling (central registration-based),Participants,1888,1900,2021-01-27,2021-02-22,,,,,,Seroprevalence from the second wave of the survey in Aachen,https://doi.org/10.3238/arztebl.m2021.0364,2021-11-05,Peer-reviewed Publikation,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjusted for test-specificity/test-sensitivity and population-weighted,0.883,0.992,0.054,0.044,0.065,,2022-03-23,1.8
Multi-local and serial cross-sectional prevalence study on antibodies against SARS-CoV-2 (COVID-19) in Germany - Aachen (MuSPAD),Local/Regional,North Rhine-Westphalia,Aachen,,,,,,Aachen,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Aachen,General population,Adults,99,18,Random sampling (central registration-based),Participants,2023,2000,2020-09-09,2020-10-09,,,,,,Seroprevalence from the first wave of the survey in Aachen,https://doi.org/10.3238/arztebl.m2021.0364,2021-11-05,Peer-reviewed Publikation,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjusted for test-specificity/test-sensitivity and population-weighted,0.883,0.992,0.023,0.017,0.031,,2022-03-23,4.9
Multi-local and serial cross-sectional prevalence study on antibodies against SARS-CoV-2 (COVID-19) in Germany - Chemnitz (MuSPAD),Local/Regional,Saxony,Chemnitz,,,,,,Chemnitz,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Chemnitz,General population,Adults,,18,Random sampling (central registration-based),Participants,2701,2700,2021-03-03,2021-08-17,https://doi.org/10.1101/2021.05.04.21256597,https://doi.org/10.3238/arztebl.m2021.0364,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-23,
Multi-local and serial cross-sectional prevalence study on antibodies against SARS-CoV-2 (COVID-19) in Germany - Chemnitz (MuSPAD),Local/Regional,Saxony,Chemnitz,,,,,,Chemnitz,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,Helmholtz Zentrum für Infektionsforschung (HZI),,https://hzi-c19-antikoerperstudie.de/,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Chemnitz,General population,Adults,99,19,Random sampling (central registration-based),Participants,358,400,2021-07-21,2021-08-17,,,,,,Seroprevalence from the second wave of the survey in Chemnitz,https://doi.org/10.3238/arztebl.m2021.0364,2021-11-05,Peer-reviewed Publikation,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjusted for test-specificity/test-sensitivity and population-weighted,0.883,0.992,0.324,0.274,0.378,2021-09-21,2022-03-23,
Multi-local and serial cross-sectional prevalence study on antibodies against SARS-CoV-2 (COVID-19) in Germany - Chemnitz (MuSPAD),Local/Regional,Saxony,Chemnitz,,,,,,Chemnitz,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Chemnitz,General population,Adults,99,18,Random sampling (central registration-based),Participants,2701,2700,2021-03-03,2021-03-31,,,,,,Seroprevalence from the first wave of the survey in Chemnitz,https://doi.org/10.3238/arztebl.m2021.0364,2021-11-05,Peer-reviewed Publikation,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjusted for test-specificity/test-sensitivity and population-weighted,0.883,0.992,0.131,0.115,0.149,,2022-03-23,2.9
Multi-local and serial cross-sectional prevalence study on antibodies against SARS-CoV-2 (COVID-19) in Germany - Freiburg (MuSPAD),Local/Regional,Baden-Wuerttemberg,Freiburg,,,,,,Freiburg,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Freiburg,General population,Adults,,18,Random sampling (central registration-based),Participants,2867,2900,2020-08-05,2020-12-15,https://doi.org/10.1101/2021.05.04.21256597,https://doi.org/10.3238/arztebl.m2021.0364,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-23,
Multi-local and serial cross-sectional prevalence study on antibodies against SARS-CoV-2 (COVID-19) in Germany - Freiburg (MuSPAD),Local/Regional,Baden-Wuerttemberg,Freiburg,,,,,,Freiburg,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,Helmholtz Zentrum für Infektionsforschung (HZI),https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Freiburg,General population,Adults,99,18,Random sampling (central registration-based),Participants,1788,1800,2020-11-18,2020-12-15,,,,,,Seroprevalence from the second wave of the survey in Freiburg,https://doi.org/10.3238/arztebl.m2021.0364,2021-11-05,Peer-reviewed Publikation,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjusted for test-specificity/test-sensitivity and population-weighted,0.883,0.992,0.024,0.021,0.037,,2022-03-23,2.2
Multi-local and serial cross-sectional prevalence study on antibodies against SARS-CoV-2 (COVID-19) in Germany - Freiburg (MuSPAD),Local/Regional,Baden-Wuerttemberg,Freiburg,,,,,,Freiburg,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Freiburg,General population,Adults,99,18,Random sampling (central registration-based),Participants,2867,2900,2020-08-05,2020-09-02,,,,,,Seroprevalence from the first wave of the survey in Freiburg,https://doi.org/10.3238/arztebl.m2021.0364,2021-11-05,Peer-reviewed Publikation,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjusted for test-specificity/test-sensitivity and population-weighted,0.883,0.992,0.015,0.011,0.02,,2022-03-23,3
Multi-local and serial cross-sectional prevalence study on antibodies against SARS-CoV-2 (COVID-19) in Germany - Hannover (MuSPAD),Local/Regional,Lower Saxony,Hannover,,,,,,Hannover,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Cross sectional and selective longitudinal,Household and Community Samples,Participants of the NAKO Health Study from Hannover,General population,Adults,,18,Cohort-sample - Sampling from existing cohort study in the general population,Participants,,3000,2021-06-16,2021-07-13,https://hannover.nako.de/2021/05/28/3-000-nako-teilnehmende-aus-hannover-haben-die-moeglichkeit-an-der-zusatzstudie-muspad-in-der-nako-teilzunehmen/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-local and serial cross-sectional prevalence study on antibodies against SARS-CoV-2 (COVID-19) in Germany - Magdeburg (MuSPAD),Local/Regional,Saxony-Anhalt,Magdeburg,,,,,,Magdeburg,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Magdeburg,General population,Adults,,18,Random sampling (central registration-based),Participants,2713,2700,2020-11-18,2020-12-15,https://doi.org/10.1101/2021.05.04.21256597,https://doi.org/10.3238/arztebl.m2021.0364,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-local and serial cross-sectional prevalence study on antibodies against SARS-CoV-2 (COVID-19) in Germany - Magdeburg (MuSPAD),Local/Regional,Saxony-Anhalt,Magdeburg,,,,,,Magdeburg,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Magdeburg,General population,Adults,99,18,Random sampling (central registration-based),Participants,1118,1100,2021-04-07,2021-05-05,,,,,,Seroprevalence from the second wave of the survey in Magdeburg,https://doi.org/10.3238/arztebl.m2021.0364,2021-11-05,Peer-reviewed Publikation,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjusted for test-specificity/test-sensitivity and population-weighted,0.883,0.992,0.06,0.037,0.097,2021-11-15,2022-03-23,
Multi-local and serial cross-sectional prevalence study on antibodies against SARS-CoV-2 (COVID-19) in Germany - Magdeburg (MuSPAD),Local/Regional,Saxony-Anhalt,Magdeburg,,,,,,Magdeburg,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Magdeburg,General population,Adults,99,18,Random sampling (central registration-based),Participants,2713,2700,2020-11-18,2020-12-15,,,,,,Seroprevalence from the first wave of the survey in Magdeburg,https://doi.org/10.3238/arztebl.m2021.0364,2021-11-05,Peer-reviewed Publikation,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjusted for test-specificity/test-sensitivity and population-weighted,0.883,0.992,0.024,0.019,0.031,,2022-03-23,5.1
Multi-local and serial cross-sectional prevalence study on antibodies against SARS-CoV-2 (COVID-19) in Germany - Osnabrück (MuSPAD),Local/Regional,Lower Saxony,Osnabrück,,,,,,Osnabrück,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Osnabrück,General population,Adults,,18,Random sampling (central registration-based),Participants,1611,1600,2020-10-15,2020-11-15,https://doi.org/10.1101/2021.05.04.21256597,https://doi.org/10.3238/arztebl.m2021.0364,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-local and serial cross-sectional prevalence study on antibodies against SARS-CoV-2 (COVID-19) in Germany - Osnabrück (MuSPAD),Local/Regional,Lower Saxony,Osnabrück,,,,,,Osnabrück,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,Helmholtz Zentrum für Infektionsforschung (HZI),https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Osnabrück,General population,Adults,99,18,Random sampling (central registration-based),Participants,1611,1600,2021-03-03,2021-03-30,,,,,,Seroprevalence from the second wave of the survey in Osnabrück,https://doi.org/10.3238/arztebl.m2021.0364,2021-11-05,Peer-reviewed Publikation,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjusted for test-specificity/test-sensitivity and population-weighted,0.883,0.992,0.041,0.032,0.052,,2022-03-23,1.3
Multi-local and serial cross-sectional prevalence study on antibodies against SARS-CoV-2 (COVID-19) in Germany - Osnabrück (MuSPAD),Local/Regional,Lower Saxony,Osnabrück,,,,,,Osnabrück,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Osnabrück,General population,Adults,99,18,Random sampling (central registration-based),Participants,2923,2900,2020-10-14,2020-11-10,,,,,,Seroprevalence from the first wave of the survey in Osnabrück,https://doi.org/10.3238/arztebl.m2021.0364,2021-11-05,Peer-reviewed Publikation,whole blood,anti -S1 domain,IgG,"ELISA ",EUROIMMUN,,,,,,,EUROIMMUN,Adjusted for test-specificity/test-sensitivity and population-weighted,0.883,0.992,0.013,0.01,0.018,,2022-03-23,2.6
Multi-local and serial cross-sectional prevalence study on antibodies against SARS-CoV-2 (COVID-19) in Germany - Reutlingen (MuSPAD),Local/Regional,Baden-Wuerttemberg,Reutlingen,,,,,,Reutlingen,Helmholtz Zentrum für Infektionsforschung (HZI),,,,,,,,"Helmholtz Zentrum für Infektionsforschung (HZI), Braunschweig",https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00022335,https://hzi-c19-antikoerperstudie.de/,Cross sectional and selective longitudinal,Household and Community Samples,Residents of Reutlingen,General population,Adults,,18,Random sampling (central registration-based),Participants,2360,2400,2020-07-01,2020-07-28,https://doi.org/10.1101/2021.05.04.21256597,https://doi.org/10.3238/arztebl.m2021.0364,,,,,,,,,,,,,,,,,,,,,,,,,,,,
